source_path,package_path,size_bytes,modified_time,reason_selected
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\training_channel_schema_candidate_v1.json,configs\training_channel_schema_candidate_v1.json,696,2026-08-31T07:33:35,Recorded seven-channel schema candidate
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\phase_2b_spatial_v2\training_taiwan_zip_spatial_v2\dataset_summary.json,configs\spatial_v2_dataset_summary.json,1094,2026-08-31T20:24:18,Small factual summary of generated Spatial V2 dataset
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\PLAYING_MODELS_CONTEXT.md,docs\PLAYING_MODELS_CONTEXT.md,32062,2026-08-30T21:01:58,Persistent research and technical project context
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\COLAB_DATA_INTERFACE.md,docs\COLAB_DATA_INTERFACE.md,2374,2026-08-31T06:08:28,Local/Colab data interface notes
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\BULK_PROCESSING_SHARD_PLAN.md,docs\BULK_PROCESSING_SHARD_PLAN.md,2625,2026-08-31T07:39:07,Final bulk-processing shard strategy
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\PHASE_1_5_COMPLETION_REPORT.md,docs\PHASE_1_5_COMPLETION_REPORT.md,8658,2026-08-31T07:07:02,Scalable corpus infrastructure completion record
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\PHASE_1_6A_COMPLETION_REPORT.md,docs\PHASE_1_6A_COMPLETION_REPORT.md,7040,2026-08-31T07:47:48,Semantic audit and corpus intake completion record
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\SEMANTIC_RECOGNITION_COMPLETION_REPORT.md,docs\SEMANTIC_RECOGNITION_COMPLETION_REPORT.md,10392,2026-08-31T05:27:25,Frozen parser completion record
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\SEMANTIC_QUALITY_AUDIT_REPORT.md,docs\SEMANTIC_QUALITY_AUDIT_REPORT.md,5927,2026-08-31T07:39:01,Semantic quality audit record
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\CORPUS_INVENTORY_REPORT.md,docs\CORPUS_INVENTORY_REPORT.md,561,2026-08-31T07:10:46,Canonical corpus inventory summary
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\CORPUS_DIVERSITY_REPORT.md,docs\CORPUS_DIVERSITY_REPORT.md,1591,2026-08-31T07:10:47,Corpus diversity summary
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\depth_anything_v2\dinov2.py,scripts\depth\depth_anything_v2\dinov2.py,15593,2026-08-27T16:02:59,Project-local Depth Anything V2 dependency
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\depth_anything_v2\dinov2_layers\__init__.py,scripts\depth\depth_anything_v2\dinov2_layers\__init__.py,393,2026-08-27T16:02:59,Project-local Depth Anything V2 dependency
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\depth_anything_v2\dinov2_layers\attention.py,scripts\depth\depth_anything_v2\dinov2_layers\attention.py,2425,2026-08-27T16:02:59,Project-local Depth Anything V2 dependency
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\depth_anything_v2\dinov2_layers\block.py,scripts\depth\depth_anything_v2\dinov2_layers\block.py,9584,2026-08-27T16:02:59,Project-local Depth Anything V2 dependency
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\depth_anything_v2\dinov2_layers\drop_path.py,scripts\depth\depth_anything_v2\dinov2_layers\drop_path.py,1195,2026-08-27T16:02:59,Project-local Depth Anything V2 dependency
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\depth_anything_v2\dinov2_layers\layer_scale.py,scripts\depth\depth_anything_v2\dinov2_layers\layer_scale.py,851,2026-08-27T16:02:59,Project-local Depth Anything V2 dependency
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\depth_anything_v2\dinov2_layers\mlp.py,scripts\depth\depth_anything_v2\dinov2_layers\mlp.py,1313,2026-08-27T16:02:59,Project-local Depth Anything V2 dependency
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\depth_anything_v2\dinov2_layers\patch_embed.py,scripts\depth\depth_anything_v2\dinov2_layers\patch_embed.py,2921,2026-08-27T16:02:59,Project-local Depth Anything V2 dependency
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\depth_anything_v2\dinov2_layers\swiglu_ffn.py,scripts\depth\depth_anything_v2\dinov2_layers\swiglu_ffn.py,1922,2026-08-27T16:02:59,Project-local Depth Anything V2 dependency
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\depth_anything_v2\dpt.py,scripts\depth\depth_anything_v2\dpt.py,7612,2026-08-27T16:02:59,Project-local Depth Anything V2 dependency
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\depth_anything_v2\util\blocks.py,scripts\depth\depth_anything_v2\util\blocks.py,4135,2026-08-27T16:02:59,Project-local Depth Anything V2 dependency
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\depth_anything_v2\util\transform.py,scripts\depth\depth_anything_v2\util\transform.py,6232,2026-08-27T16:02:59,Project-local Depth Anything V2 dependency
